VG,ID,IG,VD
-2.24E+00,9.24E-03,-2.01E-10,5.00E-02
-2.23E+00,9.97E-03,-1.97E-10,5.00E-02
-2.22E+00,1.07E-02,-1.91E-10,5.00E-02
-2.21E+00,1.15E-02,-1.89E-10,5.00E-02
-2.20E+00,1.22E-02,-1.83E-10,5.00E-02
-2.19E+00,1.30E-02,-1.79E-10,5.00E-02
-2.18E+00,1.38E-02,-1.75E-10,5.00E-02
-2.17E+00,1.46E-02,-1.70E-10,5.00E-02
-2.16E+00,1.53E-02,-1.66E-10,5.00E-02
-2.15E+00,1.61E-02,-1.60E-10,5.00E-02
-2.14E+00,1.69E-02,-1.55E-10,5.00E-02
-2.13E+00,1.77E-02,-1.51E-10,5.00E-02
-2.12E+00,1.84E-02,-1.46E-10,5.00E-02
-2.11E+00,1.92E-02,-1.40E-10,5.00E-02
-2.10E+00,1.99E-02,-1.35E-10,5.00E-02
-2.09E+00,2.06E-02,-1.29E-10,5.00E-02
-2.08E+00,2.13E-02,-1.25E-10,5.00E-02
-2.07E+00,2.20E-02,-1.20E-10,5.00E-02
-2.06E+00,2.27E-02,-1.13E-10,5.00E-02
-2.05E+00,2.34E-02,-1.08E-10,5.00E-02
-2.04E+00,2.41E-02,-1.03E-10,5.00E-02
-2.03E+00,2.48E-02,-9.90E-11,5.00E-02
-2.02E+00,2.54E-02,-9.44E-11,5.00E-02
-2.01E+00,2.61E-02,-8.90E-11,5.00E-02
-2.00E+00,2.67E-02,-8.52E-11,5.00E-02
-1.99E+00,2.73E-02,-8.07E-11,5.00E-02
-1.98E+00,2.79E-02,-7.68E-11,5.00E-02
-1.97E+00,2.85E-02,-7.26E-11,5.00E-02
-1.96E+00,2.91E-02,-6.89E-11,5.00E-02
-1.95E+00,2.97E-02,-6.60E-11,5.00E-02
-1.94E+00,3.02E-02,-6.27E-11,5.00E-02
-1.93E+00,3.08E-02,-5.99E-11,5.00E-02
-1.92E+00,3.13E-02,-5.72E-11,5.00E-02
-1.91E+00,3.18E-02,-5.71E-11,5.00E-02
-1.90E+00,3.23E-02,-5.45E-11,5.00E-02
-1.89E+00,3.28E-02,-5.17E-11,5.00E-02
-1.88E+00,3.33E-02,-4.92E-11,5.00E-02
-1.87E+00,3.37E-02,-4.70E-11,5.00E-02
-1.86E+00,3.42E-02,-4.51E-11,5.00E-02
-1.85E+00,3.46E-02,-4.35E-11,5.00E-02
-1.84E+00,3.50E-02,-4.14E-11,5.00E-02
-1.83E+00,3.55E-02,-3.99E-11,5.00E-02
-1.82E+00,3.59E-02,-3.87E-11,5.00E-02
-1.81E+00,3.63E-02,-3.70E-11,5.00E-02
-1.80E+00,3.67E-02,-3.52E-11,5.00E-02
-1.79E+00,3.71E-02,-3.40E-11,5.00E-02
-1.78E+00,3.74E-02,-3.26E-11,5.00E-02
-1.77E+00,3.78E-02,-3.32E-11,5.00E-02
-1.76E+00,3.82E-02,-3.17E-11,5.00E-02
-1.75E+00,3.85E-02,-3.01E-11,5.00E-02
-1.74E+00,3.89E-02,-2.89E-11,5.00E-02
-1.73E+00,3.92E-02,-2.82E-11,5.00E-02
-1.72E+00,3.95E-02,-2.75E-11,5.00E-02
-1.71E+00,3.98E-02,-2.66E-11,5.00E-02
-1.70E+00,4.02E-02,-2.61E-11,5.00E-02
-1.69E+00,4.05E-02,-2.68E-11,5.00E-02
-1.68E+00,4.08E-02,-2.63E-11,5.00E-02
-1.67E+00,4.11E-02,-2.44E-11,5.00E-02
-1.66E+00,4.13E-02,-2.37E-11,5.00E-02
-1.65E+00,4.16E-02,-2.40E-11,5.00E-02
-1.64E+00,4.19E-02,-2.26E-11,5.00E-02
-1.63E+00,4.21E-02,-2.16E-11,5.00E-02
-1.62E+00,4.24E-02,-2.25E-11,5.00E-02
-1.61E+00,4.27E-02,-2.00E-11,5.00E-02
-1.60E+00,4.29E-02,-2.01E-11,5.00E-02
-1.59E+00,4.31E-02,-1.74E-11,5.00E-02
-1.58E+00,4.34E-02,-1.66E-11,5.00E-02
-1.57E+00,4.36E-02,-1.53E-11,5.00E-02
-1.56E+00,4.38E-02,-1.46E-11,5.00E-02
-1.55E+00,4.41E-02,-1.32E-11,5.00E-02
-1.54E+00,4.43E-02,-1.23E-11,5.00E-02
-1.53E+00,4.45E-02,-1.17E-11,5.00E-02
-1.52E+00,4.47E-02,-1.26E-11,5.00E-02
-1.51E+00,4.49E-02,-1.21E-11,5.00E-02
-1.50E+00,4.51E-02,-8.97E-12,5.00E-02
-1.49E+00,4.53E-02,-7.99E-12,5.00E-02
-1.48E+00,4.55E-02,-7.15E-12,5.00E-02
-1.47E+00,4.57E-02,-6.23E-12,5.00E-02
-1.46E+00,4.59E-02,-6.82E-12,5.00E-02
-1.45E+00,4.61E-02,-6.17E-12,5.00E-02
-1.44E+00,4.63E-02,-4.64E-12,5.00E-02
-1.43E+00,4.64E-02,-4.29E-12,5.00E-02
-1.42E+00,4.66E-02,-5.00E-12,5.00E-02
-1.41E+00,4.68E-02,-4.34E-12,5.00E-02
-1.40E+00,4.69E-02,-4.02E-12,5.00E-02
-1.39E+00,4.71E-02,-3.62E-12,5.00E-02
-1.38E+00,4.73E-02,-3.16E-12,5.00E-02
-1.37E+00,4.74E-02,-2.93E-12,5.00E-02
-1.36E+00,4.76E-02,-2.36E-12,5.00E-02
-1.35E+00,4.77E-02,-1.93E-12,5.00E-02
-1.34E+00,4.79E-02,-1.95E-12,5.00E-02
-1.33E+00,4.80E-02,-1.79E-12,5.00E-02
-1.32E+00,4.82E-02,-1.42E-12,5.00E-02
-1.31E+00,4.83E-02,-1.23E-12,5.00E-02
-1.30E+00,4.84E-02,-1.27E-12,5.00E-02
-1.29E+00,4.86E-02,-1.08E-12,5.00E-02
-1.28E+00,4.87E-02,-8.80E-13,5.00E-02
-1.27E+00,4.88E-02,-9.90E-13,5.00E-02
-1.26E+00,4.90E-02,-6.30E-13,5.00E-02
-1.25E+00,4.91E-02,-8.20E-13,5.00E-02
-1.24E+00,4.92E-02,-8.10E-13,5.00E-02
-1.23E+00,4.93E-02,-7.00E-13,5.00E-02
-1.22E+00,4.94E-02,-4.70E-13,5.00E-02
-1.21E+00,4.96E-02,-1.00E-13,5.00E-02
-1.20E+00,4.97E-02,-7.00E-14,5.00E-02
-1.19E+00,4.98E-02,-9.00E-14,5.00E-02
-1.18E+00,4.99E-02,-3.10E-13,5.00E-02
-1.17E+00,5.00E-02,-5.80E-13,5.00E-02
-1.16E+00,5.01E-02,-5.00E-13,5.00E-02
-1.15E+00,5.02E-02,-2.90E-13,5.00E-02
-1.14E+00,5.03E-02,6.00E-14,5.00E-02
-1.13E+00,5.04E-02,1.10E-13,5.00E-02
-1.12E+00,5.05E-02,1.40E-13,5.00E-02
-1.11E+00,5.06E-02,2.00E-13,5.00E-02
-1.10E+00,5.07E-02,4.00E-14,5.00E-02
-1.09E+00,5.08E-02,-1.50E-13,5.00E-02
-1.08E+00,5.09E-02,-2.50E-13,5.00E-02
-1.07E+00,5.10E-02,-3.10E-13,5.00E-02
-1.06E+00,5.11E-02,-1.10E-13,5.00E-02
-1.05E+00,5.12E-02,1.20E-13,5.00E-02
-1.04E+00,5.13E-02,4.00E-14,5.00E-02
-1.03E+00,5.14E-02,1.50E-13,5.00E-02
-1.02E+00,5.15E-02,0.00E+00,5.00E-02
-1.01E+00,5.16E-02,-2.10E-13,5.00E-02
-1.00E+00,5.16E-02,-2.80E-13,5.00E-02
-9.90E-01,5.17E-02,-4.00E-13,5.00E-02
-9.80E-01,5.18E-02,-5.50E-13,5.00E-02
-9.70E-01,5.19E-02,-1.40E-13,5.00E-02
-9.60E-01,5.20E-02,2.70E-13,5.00E-02
-9.50E-01,5.20E-02,8.00E-14,5.00E-02
-9.40E-01,5.21E-02,-1.00E-13,5.00E-02
-9.30E-01,5.22E-02,-3.40E-13,5.00E-02
-9.20E-01,5.23E-02,-3.70E-13,5.00E-02
-9.10E-01,5.23E-02,-8.00E-14,5.00E-02
-9.00E-01,5.24E-02,3.40E-13,5.00E-02
-8.90E-01,5.25E-02,4.60E-13,5.00E-02
-8.80E-01,5.25E-02,5.00E-14,5.00E-02
-8.70E-01,5.26E-02,-2.40E-13,5.00E-02
-8.60E-01,5.27E-02,-2.10E-13,5.00E-02
-8.50E-01,5.28E-02,-1.00E-13,5.00E-02
-8.40E-01,5.28E-02,-9.00E-14,5.00E-02
-8.30E-01,5.29E-02,1.10E-13,5.00E-02
-8.20E-01,5.30E-02,1.50E-13,5.00E-02
-8.10E-01,5.30E-02,-5.00E-14,5.00E-02
-8.00E-01,5.31E-02,-2.50E-13,5.00E-02
-7.90E-01,5.31E-02,-1.80E-13,5.00E-02
-7.80E-01,5.32E-02,-2.00E-14,5.00E-02
-7.70E-01,5.33E-02,2.90E-13,5.00E-02
-7.60E-01,5.33E-02,3.80E-13,5.00E-02
-7.50E-01,5.34E-02,3.80E-13,5.00E-02
-7.40E-01,5.34E-02,-1.00E-14,5.00E-02
-7.30E-01,5.35E-02,-7.00E-14,5.00E-02
-7.20E-01,5.36E-02,0.00E+00,5.00E-02
-7.10E-01,5.36E-02,-3.00E-14,5.00E-02
-7.00E-01,5.37E-02,4.00E-14,5.00E-02
-6.90E-01,5.37E-02,2.30E-13,5.00E-02
-6.80E-01,5.38E-02,4.00E-13,5.00E-02
-6.70E-01,5.38E-02,2.00E-13,5.00E-02
-6.60E-01,5.39E-02,-1.00E-14,5.00E-02
-6.50E-01,5.39E-02,4.00E-14,5.00E-02
-6.40E-01,5.40E-02,-1.00E-14,5.00E-02
-6.30E-01,5.40E-02,0.00E+00,5.00E-02
-6.20E-01,5.41E-02,2.20E-13,5.00E-02
-6.10E-01,5.41E-02,4.00E-13,5.00E-02
-6.00E-01,5.42E-02,1.60E-13,5.00E-02
-5.90E-01,5.42E-02,-2.00E-14,5.00E-02
-5.80E-01,5.43E-02,-1.90E-13,5.00E-02
-5.70E-01,5.43E-02,-2.00E-13,5.00E-02
-5.60E-01,5.44E-02,-1.30E-13,5.00E-02
-5.50E-01,5.44E-02,1.40E-13,5.00E-02
-5.40E-01,5.45E-02,2.70E-13,5.00E-02
-5.30E-01,5.45E-02,2.00E-14,5.00E-02
-5.20E-01,5.45E-02,3.00E-14,5.00E-02
-5.10E-01,5.46E-02,1.90E-13,5.00E-02
-5.00E-01,5.46E-02,1.90E-13,5.00E-02
-4.90E-01,5.47E-02,2.90E-13,5.00E-02
-4.80E-01,5.47E-02,3.20E-13,5.00E-02
-4.70E-01,5.48E-02,7.00E-14,5.00E-02
-4.60E-01,5.48E-02,-1.00E-13,5.00E-02
-4.50E-01,5.48E-02,-5.00E-14,5.00E-02
-4.40E-01,5.49E-02,-8.00E-14,5.00E-02
-4.30E-01,5.49E-02,1.40E-13,5.00E-02
-4.20E-01,5.50E-02,2.10E-13,5.00E-02
-4.10E-01,5.50E-02,4.30E-13,5.00E-02
-4.00E-01,5.50E-02,3.10E-13,5.00E-02
-3.90E-01,5.51E-02,1.20E-13,5.00E-02
-3.80E-01,5.51E-02,2.20E-13,5.00E-02
-3.70E-01,5.52E-02,2.10E-13,5.00E-02
-3.60E-01,5.52E-02,3.50E-13,5.00E-02
-3.50E-01,5.52E-02,1.30E-13,5.00E-02
